Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,2.4645411028969534e-09,2.465052536113652e-07,1.4362057479198581e-08,0.19422469603179357,0.021449615933186283,23.991621998899145,-0.37394318286211,0.06129401833173625,0.04742446188762434,0.10871848024668929
2016,2.1099713150730968e-09,2.1281202313883745e-07,1.2343203040460296e-08,0.19344837686298344,0.021194458059790644,24.41317521353015,-0.37290977257481867,0.05739858696751726,0.04314918983469974,0.10054777683060066
2017,2.319388668744007e-09,2.3229499019674748e-07,1.6794749907753336e-08,0.1994325722824444,0.02377533491442389,24.301237937687528,-0.37241886040881056,0.06068005725547249,0.04883759810277572,0.10951765535348934
2018,2.0265203035378174e-09,2.2697959695077074e-07,1.2583182208189698e-08,0.19437012125584105,0.021286639272669685,24.175623516866754,-0.37104480243293314,0.05721413741339912,0.04559257867258357,0.10280671608439008
2019,2.234297070830691e-09,2.3076182213820208e-07,1.3192862643201409e-08,0.19337236264478366,0.021296328162583672,23.938373815118393,-0.37168401605001167,0.05759408495113466,0.04610112023855367,0.10369520516756997
2020,2.194107056113817e-09,2.1803555952207913e-07,1.3903549630647737e-08,0.194022625055745,0.021871991439775768,24.083533931246464,-0.37127401508171953,0.05671110289092731,0.0442799024117245,0.10099100529660397
2021,2.3133415679593735e-09,2.385273156217122e-07,1.5211105513180665e-08,0.19519390412332335,0.022051929606955515,23.990039439894883,-0.3699010484003609,0.05885131733755236,0.047336509970439505,0.10618782734169611
2022,1.9436201224609356e-09,2.1354922482796848e-07,1.1109605793745254e-08,0.19324179824903942,0.020365212379686266,23.953828784033835,-0.3688368197475597,0.05466539254562339,0.042574961989577054,0.09724035454491652
2023,2.0157046186978555e-09,2.2372556043439478e-07,1.1463389402077598e-08,0.19281940747831391,0.020300287229127193,24.16054783733743,-0.36845521302324274,0.05439362509951206,0.043241203177940855,0.0976348282478889
2024,2.0549197128591427e-09,2.2213685946281908e-07,1.1814965202775284e-08,0.1942444100227102,0.021005435546935295,24.337117973674598,-0.3671415136833758,0.054711500761124736,0.04376548708707282,0.09847698790493724
