Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,2.5585134366134296e-09,2.519145886225119e-07,1.5261145580866707e-08,0.19431934029839668,0.02170554312407279,23.873251374773144,-0.37400337686648694,0.062173060725713575,0.04830853289861849,0.11048159362149335
2016,2.0379492220006424e-09,2.1655179905171237e-07,1.1587693785787577e-08,0.19382218646712776,0.020880971489030425,24.008759987911088,-0.37323387994717466,0.05686856188664934,0.04340227408548084,0.10027083599458513
2017,2.117510136204462e-09,2.2313455915879857e-07,1.432287587746375e-08,0.19638737952571358,0.02263393934891833,24.34312173001148,-0.37206997051297835,0.05788900625436352,0.044856157017248315,0.10274516324779794
2018,1.9801905364075036e-09,2.223569842235787e-07,1.2279686150355372e-08,0.19500335027198204,0.02116463506930917,24.4304101967104,-0.37169257553609897,0.056766603984759044,0.045476559333052356,0.10224316333771662
2019,2.227457113637798e-09,2.3819819344050312e-07,1.2841229647608255e-08,0.19383954525990424,0.020684465408417452,24.17323565757573,-0.3713493473667209,0.057035982032762535,0.04545299843827155,0.10248898043508135
2020,2.1418283869434306e-09,2.2102082834739472e-07,1.3301967598845441e-08,0.19457829521209943,0.02130738961572229,24.35894635663256,-0.371014789155724,0.0560680726603251,0.0435962334149207,0.09966430604736241
2021,2.0356847513436e-09,2.232577567413598e-07,1.2623377082915724e-08,0.19471205366397637,0.021336159224168764,24.40763050798986,-0.369725660471429,0.05634357603709545,0.0458122700988069,0.10215584615242519
2022,2.1967577601561164e-09,2.3542732580095573e-07,1.366289980365477e-08,0.1949182252351941,0.021138338479100818,24.172534199349432,-0.36882852930565746,0.057403041471681564,0.046799023149916026,0.10420206455719333
2023,1.8910377610648764e-09,2.0588299397389354e-07,1.0957353744958966e-08,0.1938448026112298,0.020146189679759265,24.62907647085551,-0.3683011484379835,0.05323603143270928,0.041855494371694606,0.09509152578137804
2024,2.4640509784925115e-09,2.422389087841656e-07,1.738768065037542e-08,0.19808632095214426,0.02314857080717707,24.444080297064886,-0.36783435752936683,0.05895031927173395,0.0482356446828063,0.10718596391739676
2025,2.308361783168176e-09,2.3955217841907575e-07,1.3865424167991111e-08,0.19570398937066555,0.02147347658758605,24.229977301535417,-0.3665009707023583,0.059452798065761175,0.048790873202062414,0.10824367125137933
2026,2.0838144986842615e-09,2.3492263671846057e-07,1.2104424288286462e-08,0.19350923372052073,0.02009532154368742,23.90493085792256,-0.3654589333047933,0.05613799459193042,0.04577121996690451,0.10190921460613939
2027,2.2003603679493202e-09,2.2496027401214961e-07,1.1914932820461698e-08,0.19266203096264126,0.019977299072997345,24.075791981041476,-0.3652746704431526,0.05539043809238178,0.043914687007055135,0.09930512512461302
2028,2.056295662208754e-09,2.230365503445699e-07,1.261234087534476e-08,0.19447427186644362,0.020841710337044864,24.366354458529205,-0.3643679380992935,0.05520196584011277,0.04378189540623045,0.0989838612564265
2029,1.929721772269147e-09,2.1787176866189456e-07,1.136954251666809e-08,0.19261321385597982,0.02017576007450141,24.384024619222217,-0.3628446655109973,0.05367576335055463,0.04257814003794638,0.09625390338411316
2030,2.264366561784419e-09,2.349610980059905e-07,1.3398843794252022e-08,0.1947429774809266,0.020824533402760276,24.364857183043878,-0.36311682985528554,0.05638779397241591,0.04574147766708844,0.1021292715916417
2031,2.3516033750415545e-09,2.413077364652798e-07,1.4989422028439947e-08,0.19745690181745068,0.022052114507005078,24.43313926110396,-0.3622585705231193,0.05921343327786987,0.048146502630792704,0.10735993588165044
2032,2.233947647824012e-09,2.280497124651246e-07,1.347683266067661e-08,0.19582188714772897,0.021181792337798985,24.600571873909406,-0.3617453118889877,0.05755296908021224,0.045116574348662584,0.1026695434349441
2033,2.441338122355482e-09,2.44649037649284e-07,1.7199634619893602e-08,0.19905762374682157,0.02320290209151585,24.71212239958277,-0.3612007324407938,0.06079004852193656,0.048356185185529525,0.109146233693463
2034,2.5366450641239464e-09,2.4815458363861965e-07,1.862490293201176e-08,0.19960165912118807,0.023690046118731784,24.648937320937808,-0.36028678796028424,0.06259849270639371,0.04955276346682957,0.112151256155965
2035,2.519365099253461e-09,2.550830282744653e-07,1.5699998884674586e-08,0.19627654751789272,0.021295211213755886,24.489388037749325,-0.35910408018666046,0.062499924640243905,0.04993222489957452,0.11243214951995277
