Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,1.026401814236943e-09,3.474336345439104e-07,1.6865781895303882e-08,0.08750857056670275,0.011053402731670386,24.070534816594645,1.087307213918147,0.05236313750359614,0.04783665891804403,0.10019979637407082
2016,9.725208473623153e-10,3.292923267746869e-07,1.5189587852863508e-08,0.08657038417000511,0.01075890261418056,24.48645081178644,1.0869489536332342,0.049602687821556024,0.04725565923151776,0.09685834702143588
2017,9.263080147993379e-10,3.205106422836215e-07,1.5002821895904596e-08,0.08698287473356835,0.010931629077392625,24.41404974961708,1.0872645204862141,0.04741091519661661,0.0467786582174149,0.09418957342084937
2018,1.0210286479997777e-09,3.582070828046598e-07,1.7365593271632515e-08,0.08914125626305315,0.011030044438140813,24.326092841524346,1.0893724691611346,0.05290813447105525,0.04844368543302163,0.10135181996730414
2019,9.57013657582695e-10,3.2795718688653416e-07,1.5513195071171362e-08,0.08492733075350663,0.010261771915456101,24.234492504979674,1.0906917343890699,0.0492941801947668,0.04717705946926059,0.09647123965963655
2020,9.014818060109306e-10,3.205491115073367e-07,1.4632930401264111e-08,0.0849623832275787,0.010261711624165362,24.516104665101192,1.0909393118398472,0.04676744349193244,0.04664140007808904,0.09340884358602804
2021,9.529471939302715e-10,3.298686454351463e-07,1.5356335613162048e-08,0.08480852746568363,0.010252356440828577,24.669677821813874,1.0925181074535908,0.04856775707281385,0.046577391135169066,0.09514514817193158
2022,1.0125573530689237e-09,3.528311306116187e-07,1.859319868638663e-08,0.08995968627903235,0.011908883929665402,24.34529746640561,1.0928733338168128,0.05324840581710257,0.04868771922797116,0.10193612506493936
2023,9.750373100226527e-10,3.430186228840688e-07,1.6302496887798537e-08,0.08671269194036779,0.010649572944783596,24.248090661939305,1.0936418582639804,0.05239361427127609,0.047785162835723705,0.10017877713061459
2024,9.070686391563811e-10,3.2124158348215403e-07,1.490436715084242e-08,0.08437385222100506,0.010217659764507961,24.484232867697788,1.092666709492124,0.04782980338824835,0.04660066408422165,0.09443046751325605
2025,1.0103174588247446e-09,3.55525930353053e-07,1.8856363395309473e-08,0.08963186086462455,0.011942759996784479,24.39966798684007,1.0922061151180393,0.054268386008642866,0.04843518756553591,0.10270357364221311
