Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo Swordfish BlueMarlin Lancetfish Opah
1950 11.3165045133865 23.1058389264663 11.3165045133865 11.3165045133865 11.3165045133865 11.3165045133865 23.1058389264663 23.1058389264663 11.3165045133865 23.1058389264663 11.3165045133865 11.3165045133865
1951 11.3606176112542 23.1948237424017 11.3606176112542 11.3606176112542 11.3606176112542 11.3606176112542 23.1948237424017 23.1948237424017 11.3606176112542 23.1948237424017 11.3606176112542 11.3606176112542
1952 11.2746194053655 23.0235318688545 11.2746194053655 11.2746194053655 11.2746194053655 11.2746194053655 23.0235318688545 23.0235318688545 11.2746194053655 23.0235318688545 11.2746194053655 11.2746194053655
1953 11.3045455654707 23.0834158152492 11.3045455654707 11.3045455654707 11.3045455654707 11.3045455654707 23.0834158152492 23.0834158152492 11.3045455654707 23.0834158152492 11.3045455654707 11.3045455654707
1954 11.2745689804599 23.0239135615504 11.2745689804599 11.2745689804599 11.2745689804599 11.2745689804599 23.0239135615504 23.0239135615504 11.2745689804599 23.0239135615504 11.2745689804599 11.2745689804599
1955 11.2239011468111 22.9220326360745 11.2239011468111 11.2239011468111 11.2239011468111 11.2239011468111 22.9220326360745 22.9220326360745 11.2239011468111 22.9220326360745 11.2239011468111 11.2239011468111
1956 11.2318964850582 22.9381842737497 11.2318964850582 11.2318964850582 11.2318964850582 11.2318964850582 22.9381842737497 22.9381842737497 11.2318964850582 22.9381842737497 11.2318964850582 11.2318964850582
1957 11.3003524428436 23.076036461112 11.3003524428436 11.3003524428436 11.3003524428436 11.3003524428436 23.076036461112 23.076036461112 11.3003524428436 23.076036461112 11.3003524428436 11.3003524428436
1958 11.319220374189 23.1143448218949 11.319220374189 11.319220374189 11.319220374189 11.319220374189 23.1143448218949 23.1143448218949 11.319220374189 23.1143448218949 11.319220374189 11.319220374189
1959 11.1311371333752 22.7381025223365 11.1311371333752 11.1311371333752 11.1311371333752 11.1311371333752 22.7381025223365 22.7381025223365 11.1311371333752 22.7381025223365 11.1311371333752 11.1311371333752
1960 11.1116711978387 22.7002515883793 11.1116711978387 11.1116711978387 11.1116711978387 11.1116711978387 22.7002515883793 22.7002515883793 11.1116711978387 22.7002515883793 11.1116711978387 11.1116711978387
1961 11.1101290034616 22.6973009284631 11.1101290034616 11.1101290034616 11.1101290034616 11.1101290034616 22.6973009284631 22.6973009284631 11.1101290034616 22.6973009284631 11.1101290034616 11.1101290034616
1962 11.0486432277575 22.573798080206 11.0486432277575 11.0486432277575 11.0486432277575 11.0486432277575 22.573798080206 22.573798080206 11.0486432277575 22.573798080206 11.0486432277575 11.0486432277575
1963 11.0943980356349 22.6650823390551 11.0943980356349 11.0943980356349 11.0943980356349 11.0943980356349 22.6650823390551 22.6650823390551 11.0943980356349 22.6650823390551 11.0943980356349 11.0943980356349
1964 11.1490781081373 22.7747894602256 11.1490781081373 11.1490781081373 11.1490781081373 11.1490781081373 22.7747894602256 22.7747894602256 11.1490781081373 22.7747894602256 11.1490781081373 11.1490781081373
1965 11.2047491976879 22.8859216146345 11.2047491976879 11.2047491976879 11.2047491976879 11.2047491976879 22.8859216146345 22.8859216146345 11.2047491976879 22.8859216146345 11.2047491976879 11.2047491976879
1966 11.4022350721096 23.2799594118731 11.4022350721096 11.4022350721096 11.4022350721096 11.4022350721096 23.2799594118731 23.2799594118731 11.4022350721096 23.2799594118731 11.4022350721096 11.4022350721096
1967 11.2064042243368 22.889017179725 11.2064042243368 11.2064042243368 11.2064042243368 11.2064042243368 22.889017179725 22.889017179725 11.2064042243368 22.889017179725 11.2064042243368 11.2064042243368
1968 11.1193361618022 22.7147951263671 11.1193361618022 11.1193361618022 11.1193361618022 11.1193361618022 22.7147951263671 22.7147951263671 11.1193361618022 22.7147951263671 11.1193361618022 11.1193361618022
1969 11.1997869966736 22.8759705675748 11.1997869966736 11.1997869966736 11.1997869966736 11.1997869966736 22.8759705675748 22.8759705675748 11.1997869966736 22.8759705675748 11.1997869966736 11.1997869966736
1970 11.2586630426764 22.9929599162431 11.2586630426764 11.2586630426764 11.2586630426764 11.2586630426764 22.9929599162431 22.9929599162431 11.2586630426764 22.9929599162431 11.2586630426764 11.2586630426764
1971 11.1716363218396 22.8188473188028 11.1716363218396 11.1716363218396 11.1716363218396 11.1716363218396 22.8188473188028 22.8188473188028 11.1716363218396 22.8188473188028 11.1716363218396 11.1716363218396
1972 11.2477601506486 22.9722326629712 11.2477601506486 11.2477601506486 11.2477601506486 11.2477601506486 22.9722326629712 22.9722326629712 11.2477601506486 22.9722326629712 11.2477601506486 11.2477601506486
1973 11.2589565277816 22.9953083346022 11.2589565277816 11.2589565277816 11.2589565277816 11.2589565277816 22.9953083346022 22.9953083346022 11.2589565277816 22.9953083346022 11.2589565277816 11.2589565277816
1974 11.2866148575482 23.0515761149596 11.2866148575482 11.2866148575482 11.2866148575482 11.2866148575482 23.0515761149596 23.0515761149596 11.2866148575482 23.0515761149596 11.2866148575482 11.2866148575482
1975 11.2987187745951 23.0754835740303 11.2987187745951 11.2987187745951 11.2987187745951 11.2987187745951 23.0754835740303 23.0754835740303 11.2987187745951 23.0754835740303 11.2987187745951 11.2987187745951
1976 11.2552218106636 22.9888768163317 11.2552218106636 11.2552218106636 11.2552218106636 11.2552218106636 22.9888768163317 22.9888768163317 11.2552218106636 22.9888768163317 11.2552218106636 11.2552218106636
1977 11.1939570398376 22.8665738466112 11.1939570398376 11.1939570398376 11.1939570398376 11.1939570398376 22.8665738466112 22.8665738466112 11.1939570398376 22.8665738466112 11.1939570398376 11.1939570398376
1978 11.1923190834651 22.8627173079558 11.1923190834651 11.1923190834651 11.1923190834651 11.1923190834651 22.8627173079558 22.8627173079558 11.1923190834651 22.8627173079558 11.1923190834651 11.1923190834651
1979 11.1632999441376 22.80456087972 11.1632999441376 11.1632999441376 11.1632999441376 11.1632999441376 22.80456087972 22.80456087972 11.1632999441376 22.80456087972 11.1632999441376 11.1632999441376
1980 11.0722252225957 22.6229848756225 11.0722252225957 11.0722252225957 11.0722252225957 11.0722252225957 22.6229848756225 22.6229848756225 11.0722252225957 22.6229848756225 11.0722252225957 11.0722252225957
1981 11.0976820206258 22.673780593 11.0976820206258 11.0976820206258 11.0976820206258 11.0976820206258 22.673780593 22.673780593 11.0976820206258 22.673780593 11.0976820206258 11.0976820206258
1982 11.2312939714391 22.9419338846754 11.2312939714391 11.2312939714391 11.2312939714391 11.2312939714391 22.9419338846754 22.9419338846754 11.2312939714391 22.9419338846754 11.2312939714391 11.2312939714391
