Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015.01,8.098369298660185e-10,3.122958447563672e-07,1.535173308520912e-08,0.08036120001208438,0.010116689107402273,22.388300511140052,1.0874820722836078,0.04491446754855304,0.04548083942523931,0.09039530709483996
2015.02,8.414748682650898e-10,3.548461512222558e-07,2.2284543647722357e-08,0.09308815067671096,0.014406180248241113,21.980938987452962,1.087509704994124,0.04959194210645013,0.05097594438582574,0.10056788650593229
2015.03,9.632120937317298e-10,3.845621188348988e-07,2.7690521787138383e-08,0.10111352369487864,0.017294470475059495,22.046049410823958,1.0875650384150004,0.0575596903171472,0.05341851147493413,0.11097820185053249
2015.04,1.1403319661281251e-09,4.325804795858305e-07,2.7988564740717756e-08,0.10387782228828436,0.01590370163688004,22.218518045777397,1.0875865618120393,0.0684994416692234,0.05338473887368001,0.12188418046427499
2015.05,1.2996639644030354e-09,4.424456457305197e-07,2.0820788997319118e-08,0.09993155151804471,0.011954560362630299,23.11942278047112,1.0872508024031067,0.0698410892635257,0.05145515214520698,0.1212962415075177
2015.06,1.3101015155763417e-09,3.937977831300295e-07,1.684382738101461e-08,0.09462354994512517,0.01060650308158186,24.493713030457627,1.0872405915853127,0.0628840491236711,0.05036786394431089,0.1132519133763994
2015.07,1.1864018351429465e-09,3.69964061319055e-07,1.4496112700820827e-08,0.09114556178095319,0.01005896754711731,25.75056717872765,1.0873598898221102,0.05649460778274702,0.05108382684415319,0.10757843453676845
2015.08,1.078076430302456e-09,3.2865948198209537e-07,1.1347942411024486e-08,0.08518173727713063,0.00909262690340164,26.695517655960696,1.0873125175922769,0.05046001171557084,0.04927289851196735,0.09973291026660955
2015.09,9.871719451160446e-10,3.0917766802574713e-07,9.842874156524534e-09,0.08052251052464902,0.008147748824324565,26.459802918182707,1.0872592961921015,0.047342314787825794,0.04694040173246407,0.09428271672181131
2015.10,9.065054310869748e-10,2.9135196048926983e-07,8.964625491267688e-09,0.0749069820837503,0.007257675618016272,25.56075873164905,1.0871252348678746,0.044452383780972125,0.043438127095498894,0.08789051098118184
2015.11,8.668039093667572e-10,2.6539337946528615e-07,7.752196226916806e-09,0.06953711770560793,0.0064113224312096736,24.451914361169045,1.0871358042319275,0.040922377514030724,0.04038104740393715,0.08130342497267867
2015.12,8.067825832668003e-10,2.6268631111208855e-07,8.508292855252742e-09,0.07057811257087489,0.006941877208447399,23.238715946037246,1.0876912713188422,0.0383975213218224,0.04079760441100875,0.0791951257954372
2016.01,7.453107520067703e-10,2.947784046313105e-07,1.2964276759912543e-08,0.07991889272630812,0.009780046278276165,22.432311079168475,1.0878141962260277,0.03881543532198213,0.04546129208381429,0.08427672725194367
2016.02,7.605499440788208e-10,3.1497783966105784e-07,1.835412084992633e-08,0.08652111487831618,0.013372449803788697,22.254078131518657,1.0877634474259157,0.04264925239503777,0.049642470425184076,0.09229172280089717
2016.03,8.716761984993114e-10,3.563395824389178e-07,2.437172471522585e-08,0.09866507787048293,0.016476488816728915,22.417855259026688,1.0875096126960864,0.049715700178721636,0.05342468059722419,0.10314038074630662
2016.04,1.0262174044441484e-09,3.906854718112718e-07,2.0879722699857488e-08,0.09846867577128995,0.012969803739247762,22.62390747082732,1.0873078368972031,0.05915963381424256,0.05075877915958935,0.1099184130402833
2016.05,1.152698549239077e-09,4.2262681419511754e-07,1.8538949492072884e-08,0.09840028026604546,0.011021764953767343,23.51978380069318,1.0871634554596086,0.0632319436161217,0.04968583016528341,0.11291777372368537
2016.06,1.1268287657322758e-09,3.954427038896685e-07,1.3124421555780495e-08,0.0923396285846998,0.008842788476491252,24.968454995407747,1.0869136898017986,0.058020270901947335,0.04790817111918138,0.10592844205139808
2016.07,1.132512276844207e-09,3.423544553188668e-07,1.1302278621064802e-08,0.08698822924862533,0.008718166106650573,26.221303119697094,1.0870693053281657,0.051068004318802325,0.04905172447203918,0.10011972878949017
2016.08,1.0071771891024343e-09,3.2352907786863284e-07,9.663989898658994e-09,0.08309421253878889,0.008001072521838373,27.03343341708776,1.0873531678046273,0.046773973134009425,0.046934620618905465,0.09370859384172843
2016.09,9.201073570185501e-10,3.013405795293617e-07,8.352861030809552e-09,0.07880780001566201,0.007389984474613142,27.07322940311418,1.0875305544540643,0.04296283993988359,0.04518016936481686,0.08814300919398205
2016.10,8.616806978857597e-10,2.7062312605217864e-07,6.2330120062334395e-09,0.0714616604798619,0.0060654291618538105,26.21028217446865,1.087706046514107,0.03923672249202454,0.041266286429010895,0.08050300897379388
2016.11,8.060383231104731e-10,2.4149866215179784e-07,5.881789991234194e-09,0.06585698468103685,0.0055388995087813945,24.79997925670334,1.0876840581871443,0.034411698635386734,0.03829895379704679,0.07271065232546042
2016.12,7.156509341468134e-10,2.399114434233915e-07,6.5867917320585355e-09,0.06758450683214072,0.006091103161500793,23.406959702398115,1.08787573300222,0.031888237459549794,0.03951449042742708,0.07140272780943886
2017.01,6.492442060126832e-10,2.636196611371018e-07,1.0470313532562805e-08,0.08027125606148891,0.009372525060030716,22.31200784902413,1.087935552102447,0.03370977487969064,0.044986547032877904,0.0786963219838768
2017.02,6.616226352980892e-10,3.10559073818964e-07,1.972476201303014e-08,0.0976401500105895,0.015955075731181947,21.91865109461342,1.087886834408758,0.037712778131801204,0.05299062741174037,0.09070340549099579
2017.03,7.615332496928526e-10,3.8015033376606964e-07,3.68041094132425e-08,0.11484555131698332,0.024697637839760322,21.935093402783,1.0877062380104894,0.048325488937915356,0.06181280854241962,0.11013829742129831
2017.04,1.0383400551535337e-09,4.523568058997529e-07,3.3009967064078613e-08,0.11109041083889355,0.019096031930691645,22.64817676100897,1.0878801491456098,0.07044884799229899,0.05540778679398059,0.12585663473799147
2017.05,1.5210417509642447e-09,4.719589967573818e-07,2.0397758065223172e-08,0.10703795884419748,0.01133890184462205,23.76311545683408,1.087805547906993,0.07338187339381423,0.048511854225378695,0.12189372763051179
2017.06,1.4458821020060274e-09,4.3536485668133143e-07,1.696874150060453e-08,0.09938236740111352,0.010207939149810682,25.155278432227277,1.0877189490004597,0.06645834576772607,0.04943981341306046,0.11589815925173134
2017.07,1.2466470676972158e-09,3.8365611659533046e-07,1.4088478983647808e-08,0.09283641470807262,0.009723277048256982,26.479804700908122,1.0878510409397035,0.059197660676185974,0.05038447597239754,0.1095821365337292
2017.08,1.1458409174991309e-09,3.5851614801941586e-07,1.501613852170355e-08,0.08757268532171193,0.009913380122495936,27.025705298385446,1.0880503727422803,0.05592570943125491,0.04977643936910907,0.10570214885957205
2017.09,1.0503740242753486e-09,3.4596199377434597e-07,1.3270125091780049e-08,0.08343921977061866,0.00876837486565167,26.85735754978226,1.0884538237481975,0.05355485258079551,0.04675610396379549,0.10031095639923457
2017.10,1.0416439534251768e-09,3.090846944580369e-07,1.0298333641519943e-08,0.07555420702973323,0.007381220114932516,25.88082496068704,1.0889029644075385,0.04909903474232881,0.043461707616230125,0.09256074232283219
2017.11,9.766164057118604e-10,2.813904417648592e-07,8.60305245537355e-09,0.07106136294783467,0.006531225831567829,24.498568791779892,1.0889083682113405,0.04243474143993585,0.041093782378731,0.08352852391432038
2017.12,8.622376104519815e-10,2.7093237743325476e-07,1.0111551313828161e-08,0.07037646133099436,0.007518198076012887,23.452327610204545,1.0892122580501995,0.04097622079040316,0.04100983750913141,0.08198605839151088
2018.01,7.866578939739823e-10,2.963562785230302e-07,1.3429469597981798e-08,0.0818236276125674,0.010313549168138798,22.572759766131636,1.0894557735586232,0.042171263628039184,0.04583011470369979,0.0880013783298238
2018.02,8.118862160719313e-10,3.3865957967206304e-07,2.1369175810484022e-08,0.09688656224255057,0.015224681236802163,21.911126105066536,1.0896367212423899,0.04544322076541479,0.051146969453820655,0.09659019032893049
2018.03,8.992349632583461e-10,4.0160332648399573e-07,3.419755624258835e-08,0.11121755125246736,0.0217250821295783,22.120946834537357,1.0894472408960656,0.05566801498475277,0.05890359260560068,0.11457160756665283
2018.04,1.1219771093676879e-09,4.321662773541218e-07,2.891279974910247e-08,0.10550155064710286,0.01641983471229306,22.584550280665518,1.0894648751373046,0.07208088378613335,0.052493699555304404,0.12457458322928054
2018.05,1.4424125604214525e-09,4.620660184986296e-07,2.200555274898178e-08,0.1052108544553187,0.011813808240758774,23.468022640317503,1.0895481249531076,0.07259031858054389,0.050104438794747456,0.12269475732324106
2018.06,1.349557230116362e-09,4.0806007672092364e-07,1.5467639555379513e-08,0.09554916842163201,0.009597702149963592,24.57200314452091,1.0896450338464356,0.06458664465997221,0.04917468640751832,0.11376133098608866
2018.07,1.2119867286236351e-09,3.491975739449892e-07,1.2098037788389814e-08,0.08722025007305442,0.008728702776177363,25.955649746344406,1.0895775246876729,0.05590432924316998,0.049426486287982775,0.10533081565853208
2018.08,1.056691637927154e-09,3.3998131180238213e-07,1.1730502388692247e-08,0.08567680022304229,0.00870030897243076,26.910820619814782,1.0896168415793028,0.051538606844861404,0.04944271888781409,0.10098132573555078
2018.09,9.555708214166971e-10,3.20564825932512e-07,1.0216062087749616e-08,0.0795874391593053,0.007687311393624266,26.861399342744505,1.0897931195014772,0.04887621210958801,0.046340241873266005,0.09521645398248864
2018.10,9.324459191020318e-10,2.8574012590244674e-07,7.745608120571609e-09,0.07315343726387748,0.006493217441788189,25.977508162901366,1.090144950828883,0.043781059445091045,0.042907682065491226,0.08668874156616596
2018.11,8.755954128619003e-10,2.528875210027767e-07,6.5523241699409916e-09,0.0675047116104006,0.005803165347467306,24.72721848466111,1.0905038386397512,0.038648438479745084,0.03995107486737594,0.07859951342368929
2018.12,7.739544555669355e-10,2.473648770441918e-07,7.619874037192983e-09,0.06809811287080639,0.006434132362734715,23.425243292248172,1.0905768325585605,0.03635862842864372,0.04001809980379107,0.07637672831045521
2019.01,7.008341387896933e-10,2.8988316518757306e-07,1.304504729647145e-08,0.07934358763171685,0.009744292545817062,22.42207702888366,1.0907307011946996,0.039415042689024585,0.045509409118852845,0.08492445183861334
2019.02,7.359006913519497e-10,3.3801414949770217e-07,2.113259604262381e-08,0.09449260257361612,0.014791923039003056,22.228430815069213,1.0906539246970792,0.04497667007684193,0.05081295087005757,0.09578962108040366
2019.03,8.938673408416971e-10,3.6400448004934907e-07,2.744899706342397e-08,0.10044045471191107,0.017860307002558914,22.289262628338932,1.090598565693113,0.05429632584839023,0.05418376930916219,0.10848009511358273
2019.04,1.1165105493745639e-09,4.148976061080184e-07,2.4686098536781036e-08,0.10130343292183015,0.01428526165626375,22.803395428219197,1.0904451033292526,0.06446799956802532,0.052449260124562344,0.1169172597111125
2019.05,1.2614141189822128e-09,4.409282582402474e-07,1.8022086158352808e-08,0.09871252598265597,0.010185842620647024,23.530399600600976,1.0903188738036333,0.06476662944495701,0.049473411356609896,0.11424004069722485
2019.06,1.2440713853429157e-09,3.712199051216294e-07,1.2604798146605408e-08,0.09100920280386655,0.00865534955709005,24.610868449084467,1.090287853173711,0.058251555484457325,0.04906187690886484,0.10731343232727249
2019.07,1.1273308149138683e-09,3.340514937807084e-07,1.0543030839771916e-08,0.08595946295674713,0.008303249746865244,25.838070196993325,1.0902814618804617,0.050563529793962725,0.05021276032532295,0.10077629004387655
2019.08,9.597265355065006e-10,3.3804076088371295e-07,1.1888977186704166e-08,0.08493911020464916,0.00858255176764015,26.733162280638684,1.090766911372564,0.049184893543149394,0.048718401846260743,0.09790329544835984
2019.09,9.254242750382648e-10,3.1858389634788054e-07,1.0295554734162373e-08,0.07986768830550559,0.007603349083699984,26.73328982316955,1.0908479394927795,0.04763621648531787,0.04606556436223647,0.09370178084980493
2019.10,9.37572892228386e-10,2.9568687724110573e-07,8.983013129438538e-09,0.07475556981618663,0.006748761818509035,25.825635348488603,1.0910009853841338,0.043763118863163954,0.043182730582329076,0.0869458494018785
2019.11,8.747133004269202e-10,2.6446495980674797e-07,8.152242711148175e-09,0.06965923856162666,0.006346156914889854,24.54221280029834,1.091203965410748,0.040988200511317976,0.04063990632628949,0.08162810683524974
2019.12,8.04631908554061e-10,2.6453692586802256e-07,9.719030237961493e-09,0.07303995475879235,0.007614143958617173,23.160145141972883,1.091157176716136,0.039801904512606304,0.04187974620392495,0.08168165081620864
2020.01,7.516671514212299e-10,2.8946797103583215e-07,1.4638754974629622e-08,0.08049988121885614,0.01082804178832808,22.423459434734212,1.0912228259464172,0.039707343939685426,0.046511817368153664,0.0862191612783746
2020.02,7.721174198819267e-10,3.3793726579138076e-07,2.1016022282827727e-08,0.09265373539329301,0.014701654649761914,22.289433082548353,1.0913649574100743,0.04304262481251106,0.05251285619096595,0.09555548099946173
2020.03,8.936175808028555e-10,3.626442468625162e-07,2.2947588236464357e-08,0.09523161965661527,0.015030962903879085,22.62012298939571,1.0913047216730125,0.05217096981485838,0.05205924532198178,0.10423021513695145
2020.04,1.0982126471373257e-09,3.9649645333220853e-07,2.107600212968948e-08,0.09819195367766113,0.013367787070998439,22.571259012013947,1.0911904119875349,0.060360945122474675,0.05397866917286358,0.11433961434651635
2020.05,1.1392931275771158e-09,4.010017807512584e-07,1.597318613871275e-08,0.09798218772230018,0.010162308591630248,23.92330430649906,1.090961841392616,0.062243159857337506,0.04797200046713833,0.11021516024591942
2020.06,1.1242703277104496e-09,3.4350888452808006e-07,1.1861340335161051e-08,0.09108561567550791,0.008745928388387707,25.047931547561465,1.0909394489428113,0.05466051097902086,0.04887807536024899,0.10353858631426743
