Bigeye Mahi BlueShark Skipjack Yellowfin Albacore StripedMarlin Wahoo Swordfish BlueMarlin Lancetfish Opah
1950 11.391378732899 23.1596414327785 11.391378732899 11.391378732899 11.391378732899 11.391378732899 23.1596414327785 23.1596414327785 11.391378732899 23.1596414327785 11.391378732899 11.391378732899
1951 11.5994345719721 23.5768578496695 11.5994345719721 11.5994345719721 11.5994345719721 11.5994345719721 23.5768578496695 23.5768578496695 11.5994345719721 23.5768578496695 11.5994345719721 11.5994345719721
1952 11.5983408439609 23.5746982734795 11.5983408439609 11.5983408439609 11.5983408439609 11.5983408439609 23.5746982734795 23.5746982734795 11.5983408439609 23.5746982734795 11.5983408439609 11.5983408439609
1953 11.4814016722004 23.3423619892917 11.4814016722004 11.4814016722004 11.4814016722004 11.4814016722004 23.3423619892917 23.3423619892917 11.4814016722004 23.3423619892917 11.4814016722004 11.4814016722004
1954 11.4281222789346 23.2373334911282 11.4281222789346 11.4281222789346 11.4281222789346 11.4281222789346 23.2373334911282 23.2373334911282 11.4281222789346 23.2373334911282 11.4281222789346 11.4281222789346
1955 11.6132177141032 23.6081001243582 11.6132177141032 11.6132177141032 11.6132177141032 11.6132177141032 23.6081001243582 23.6081001243582 11.6132177141032 23.6081001243582 11.6132177141032 11.6132177141032
1956 11.4703153589742 23.3229256029321 11.4703153589742 11.4703153589742 11.4703153589742 11.4703153589742 23.3229256029321 23.3229256029321 11.4703153589742 23.3229256029321 11.4703153589742 11.4703153589742
1957 11.5688172389106 23.5209222001807 11.5688172389106 11.5688172389106 11.5688172389106 11.5688172389106 23.5209222001807 23.5209222001807 11.5688172389106 23.5209222001807 11.5688172389106 11.5688172389106
1958 11.3434083612653 23.0706376309245 11.3434083612653 11.3434083612653 11.3434083612653 11.3434083612653 23.0706376309245 23.0706376309245 11.3434083612653 23.0706376309245 11.3434083612653 11.3434083612653
1959 11.2976600145054 22.9796809059565 11.2976600145054 11.2976600145054 11.2976600145054 11.2976600145054 22.9796809059565 22.9796809059565 11.2976600145054 22.9796809059565 11.2976600145054 11.2976600145054
1960 11.4441601907338 23.2739251301325 11.4441601907338 11.4441601907338 11.4441601907338 11.4441601907338 23.2739251301325 23.2739251301325 11.4441601907338 23.2739251301325 11.4441601907338 11.4441601907338
1961 11.5489284347322 23.4833522792711 11.5489284347322 11.5489284347322 11.5489284347322 11.5489284347322 23.4833522792711 23.4833522792711 11.5489284347322 23.4833522792711 11.5489284347322 11.5489284347322
1962 11.5499496310666 23.4851660704393 11.5499496310666 11.5499496310666 11.5499496310666 11.5499496310666 23.4851660704393 23.4851660704393 11.5499496310666 23.4851660704393 11.5499496310666 11.5499496310666
1963 11.5079880868261 23.4022519511035 11.5079880868261 11.5079880868261 11.5079880868261 11.5079880868261 23.4022519511035 23.4022519511035 11.5079880868261 23.4022519511035 11.5079880868261 11.5079880868261
1964 11.5398465887249 23.4679283999727 11.5398465887249 11.5398465887249 11.5398465887249 11.5398465887249 23.4679283999727 23.4679283999727 11.5398465887249 23.4679283999727 11.5398465887249 11.5398465887249
1965 11.4628414936635 23.313937430793 11.4628414936635 11.4628414936635 11.4628414936635 11.4628414936635 23.313937430793 23.313937430793 11.4628414936635 23.313937430793 11.4628414936635 11.4628414936635
1966 11.4986673632112 23.3857818939408 11.4986673632112 11.4986673632112 11.4986673632112 11.4986673632112 23.3857818939408 23.3857818939408 11.4986673632112 23.3857818939408 11.4986673632112 11.4986673632112
1967 11.4164825538706 23.2218391785589 11.4164825538706 11.4164825538706 11.4164825538706 11.4164825538706 23.2218391785589 23.2218391785589 11.4164825538706 23.2218391785589 11.4164825538706 11.4164825538706
1968 11.4649927742848 23.3190680302529 11.4649927742848 11.4649927742848 11.4649927742848 11.4649927742848 23.3190680302529 23.3190680302529 11.4649927742848 23.3190680302529 11.4649927742848 11.4649927742848
1969 11.3294232693032 23.047948988977 11.3294232693032 11.3294232693032 11.3294232693032 11.3294232693032 23.047948988977 23.047948988977 11.3294232693032 23.047948988977 11.3294232693032 11.3294232693032
1970 11.3704249922694 23.1308214062175 11.3704249922694 11.3704249922694 11.3704249922694 11.3704249922694 23.1308214062175 23.1308214062175 11.3704249922694 23.1308214062175 11.3704249922694 11.3704249922694
1971 11.3333305968268 23.0576885595686 11.3333305968268 11.3333305968268 11.3333305968268 11.3333305968268 23.0576885595686 23.0576885595686 11.3333305968268 23.0576885595686 11.3333305968268 11.3333305968268
1972 11.501977940639 23.3954840702687 11.501977940639 11.501977940639 11.501977940639 11.501977940639 23.3954840702687 23.3954840702687 11.501977940639 23.3954840702687 11.501977940639 11.501977940639
1973 11.3589831728499 23.1094899745568 11.3589831728499 11.3589831728499 11.3589831728499 11.3589831728499 23.1094899745568 23.1094899745568 11.3589831728499 23.1094899745568 11.3589831728499 11.3589831728499
1974 11.2704878255143 22.9325896004871 11.2704878255143 11.2704878255143 11.2704878255143 11.2704878255143 22.9325896004871 22.9325896004871 11.2704878255143 22.9325896004871 11.2704878255143 11.2704878255143
1975 11.4761347210592 23.3441379781072 11.4761347210592 11.4761347210592 11.4761347210592 11.4761347210592 23.3441379781072 23.3441379781072 11.4761347210592 23.3441379781072 11.4761347210592 11.4761347210592
1976 11.4836351610396 23.358517797616 11.4836351610396 11.4836351610396 11.4836351610396 11.4836351610396 23.358517797616 23.358517797616 11.4836351610396 23.358517797616 11.4836351610396 11.4836351610396
