Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1850,1.2681636123215618e-09,3.538507936802385e-07,1.8798295553162978e-08,0.09193893978374669,0.011983418902656862,23.658204278331024,1.0505287592030723,0.057888871790485054,0.04880504510959178,0.10669391690693425
1851,1.1835682325692948e-09,3.3313684654609455e-07,1.625578612589749e-08,0.08992616204275922,0.01132685970031193,23.675682774563374,1.051269683060202,0.05267310070513389,0.04817745843341,0.10085055909510317
1852,1.1420886142176334e-09,3.3035174838888985e-07,1.4221878992832635e-08,0.0879845168880495,0.010134403029325958,23.88143403525292,1.0527779296967967,0.04989214513855936,0.0473422572468796,0.09723440239674898
1853,1.354569172035928e-09,3.7868621323415483e-07,2.1550228979041918e-08,0.09858347609414042,0.013788352353114501,23.673254379482774,1.0542514146808843,0.059203975084604225,0.05097888245453386,0.11018285752812912
1854,1.3169607458150577e-09,3.565901721453496e-07,2.112279583924831e-08,0.09479931836147383,0.013521047827408232,23.359199343616254,1.0560219974704206,0.06071175296742227,0.05018060465059992,0.11089235761742706
1855,1.2209875783827433e-09,3.379933942533612e-07,1.7533797502864715e-08,0.0915082562236887,0.011946640963655773,23.373865256831337,1.054846232838024,0.055248188437788476,0.048919899005767736,0.10416808746564636
1856,1.1872011163492074e-09,3.390535924254027e-07,1.6561910350795096e-08,0.0912064423766573,0.011475165857738062,23.70378867155544,1.0542524550991668,0.05234242138749442,0.04832943260355796,0.1006718540038885
1857,1.2768670087775001e-09,3.5618445552011536e-07,1.9207617360431494e-08,0.09366338995038496,0.012639808637879486,23.748785163397276,1.055463910960558,0.05632138819919419,0.04928040625650084,0.10560179445394176
1858,1.268273980568231e-09,3.5400805913366114e-07,1.783576795103569e-08,0.09131672208861752,0.011576632074131454,23.709845840503437,1.0570864225066103,0.05578209931559979,0.048686703669037275,0.10446880296468852
1859,1.2214449121697674e-09,3.4561952079737733e-07,1.715233402501892e-08,0.09124686819891327,0.011479290189328981,23.731764733023468,1.0575007303884818,0.05373383716999994,0.04883454842030832,0.10256838555168046
1860,1.190609046137804e-09,3.456119279304177e-07,1.542614426553806e-08,0.08977780811776807,0.010539533542470884,23.705581503157642,1.0598884729284146,0.0531314657570924,0.04853677346248947,0.10166823918190009
1861,1.1604891577011172e-09,3.4108786799644166e-07,1.460791387920775e-08,0.08887919133830531,0.010147893594642505,23.71461010801246,1.061799993251998,0.05135138269537976,0.04797626725830909,0.09932764994238512
1862,1.1811364905261857e-09,3.415339165039486e-07,1.5313218479690057e-08,0.09007180180413037,0.01067723948951669,23.533165035738012,1.0633965693435736,0.0522401534825488,0.04871188827677627,0.10095204174640417
1863,1.2486215497851734e-09,3.554721634736275e-07,1.724338183540664e-08,0.09250344358196054,0.011629921384414127,23.523635518354865,1.0644681671325167,0.05521406180218274,0.049314794948712104,0.10452885679974344
1864,1.267046871788154e-09,3.592536056652564e-07,1.81076570823713e-08,0.09378323178173409,0.012239130346743095,23.727591768674262,1.0635619151953724,0.05627098679036257,0.049278993968769454,0.105549980757575
1865,1.294282436079293e-09,3.676209607281763e-07,1.8471218506812864e-08,0.09633062702703009,0.012620696860084843,23.665824326276052,1.0635209284425915,0.05827336549563358,0.05044537612115804,0.10871874153306117
